"SITE","LINE","PLC_STATION_ID","ORDER","SFC","TXNTYPE","REASON_CODE","START_DATE_TIME","END_DATE_TIME","TXN_VARIANT_CODE","TXN_VARIANT_DATA","PRE_WEIGHT","POST_WEIGHT","STATUS","ACTIVITY","CREATED_BY","CREATED_DATE_TIME","MODIFIED_DATE_TIME","RETRY_COUNT"
"1297","L1_SA_SU","4","SU01","00201908SU-00018",1,30,"15-AUG-2019 12:42:08","15-AUG-2019 12:42:25","","",663,663,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","5","SU01","00201908SU-00018",1,40,"15-AUG-2019 12:42:35","15-AUG-2019 12:42:51","","",663,967,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","6","SU01","00201908SU-00018",1,50,"15-AUG-2019 12:43:06","15-AUG-2019 12:43:17","","",967,967,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","7","SU01","00201908SU-00018",1,60,"15-AUG-2019 12:43:41","15-AUG-2019 12:43:50","","",967,967,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","8","SU01","00201908SU-00018",1,70,"15-AUG-2019 12:45:22","15-AUG-2019 12:45:32","","",967,967,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","1","SU01","00201908SU-00019",1,1,"15-AUG-2019 12:41:25","15-AUG-2019 12:41:29","1"," E02B0040002A2F1",0,0,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","2","SU01","00201908SU-00019",1,10,"15-AUG-2019 12:41:38","15-AUG-2019 12:41:56","","",0,203,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","3","SU01","00201908SU-00019",1,20,"15-AUG-2019 12:42:09","15-AUG-2019 12:42:29","","",203,659,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","4","SU01","00201908SU-00019",1,30,"15-AUG-2019 12:43:22","15-AUG-2019 12:43:39","","",659,659,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","5","SU01","00201908SU-00019",1,40,"15-AUG-2019 12:43:55","15-AUG-2019 12:44:11","","",659,963,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","6","SU01","00201908SU-00019",1,50,"15-AUG-2019 12:44:29","15-AUG-2019 12:44:40","","",963,963,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
